Nome,Dato1,Dato2,Dato3,...
174,-17L. Van Assche,329,-
175,7T. Skatov,328,-
176,3F. Meligeni Alves,320,-
177,-7H. Habib,320,-
178,6J. Choinski,319,-
179,-8L. Draxl,318,-
180,-12T. Atmane,317,-
181,J. Trotter,317,-
182,9C. Wong,312,6
183,-5D. Evans,311,-
184,12J. McCabe,310,7
185,32M. Gigante,306,-
186,2F. Mena,306,-
187,8A. Vallejo,306,-
188,4S. Shimabukuro,304,-
189,1R. Albot,303,-
190,11N. Mejia,302,-
191,-15C. Lestienne,299,-
192,-9A. Bolt,297,-
193,32A. Bouquier,297,-
194,-9V. Gaubas,295,-
195,12A. Karatsev,292,-
196,1Y. Shimizu,291,-
197,12J. Rodionov,290,-
198,4A. Collarini,290,4
199,-5G. Brouwer,289,-
200,A. Holmgren,287,-
201,33E. Butvilas,285,2
202,59C. Smith,284,-
203,-16Z. Svajda,284,-
204,-15H. Grenier,283,7
205,-2M. Lajal,282,-
206,4A. Dougaz,277,-
207,-3B. Hassan,277,6
208,-35H. Squire,276,-
209,-1L. Neumayer,273,1
210,-5M. Marterer,271,-
211,1G. Onclin,270,-
212,-19T. Droguet,265,-
213,-7A. Escoffier,265,3
214,135Y. Watanuki,264,-
215,-2B. Zhukayev,263,-
216,11I. Buse,261,-
217,-2P. Jubb,260,-
218,3E. Ruusuvuori,258,-
219,-3B. Tomic,258,6
220,-6F. Arnaboldi,257,-
221,-3K. Sultanov,256,3
222,-23M. Dellien,256,4
223,-4M. Cassone,252,-
224,-1M. Kasnikowski,250,-
225,-1A. Ramos-Vinolas,249,-
226,Y. Hsu,245,-
227,1R. Noguchi,245,-
228,2D. Rincon,240,-
229,2R. Pacheco Mendez,240,2
230,7T. Wu,238,-
231,4A. Andreev,236,-
232,-21S. Hong,235,-
233,3G. Debru,235,-
234,-1O. Jasika,234,-
235,3E. Nava,231,-
236,-38J. Varillas,231,-
237,7M. Gengel,230,-
238,-6A. Vavassori,229,-
239,3E. Couacaud,229,-
240,3M. Rehberg,229,-
241,-19F. Jianu,227,1
242,17Y. Bai,226,-
243,5J. Barranco Cosano,226,-
